BatPopulationCode,RefCode,SiteCode,BatFamily,BatGenus,BatSpecies,CurrentBatSpecies,BatSubspecies,BatRoost,BatCaptureNumber,BatMarks,BatFemales,BatMales,BatJuvenile,BatAdult,BatLactatingFemales,BatNonreproductiveFemales,BatPregnantFemales,BatNonreproductiveMales,BatScrotalTestesMales,Observations
BFBPOP0001,BFR001,BFA001,Phyllostomidae,Desmodus,Desmodus rotundus,Desmodus rotundus,NA,Cave Human-madestructure Treecavity,160,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0002,BFR002,BFA002,Phyllostomidae,Anoura,Anoura carishina,Anoura latidens,NA,Cave Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0003,BFR002,BFA002,Phyllostomidae,Artibeus,Artibeus lituratus,Artibeus lituratus,NA,Cave Foliage Human-madestructure Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0004,BFR002,BFA002,Phyllostomidae,Carollia,Carollia castanea,Carollia castanea,NA,Cave Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0005,BFR002,BFA002,Phyllostomidae,Carollia,Carollia perspicillata,Carollia perspicillata,NA,Cave Foliage Human-madestructure Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0006,BFR002,BFA002,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,NA,Cave Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0007,BFR002,BFA002,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,NA,Cave Foliage Human-madestructure Termitenest Treecavity,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0008,BFR002,BFA002,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira giannae,NA,Foliage,NA,YES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0009,BFR003,BFA003,Phyllostomidae,Artibeus,Artibeus planirostris,Artibeus planirostris,NA,Foliage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0010,BFR003,BFA003,Phyllostomidae,Chrotopterus,Chrotopterus auritus,Chrotopterus auritus,NA,Cave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0011,BFR003,BFA003,Phyllostomidae,Desmodus,Desmodus rotundus,Desmodus rotundus,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0012,BFR003,BFA003,Vespertilionidae,Eptesicus,Eptesicus furinalis,Eptesicus furinalis,NA,Cave Human-madestructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0013,BFR003,BFA003,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0014,BFR003,BFA004,Phyllostomidae,Diaemus,Diaemus youngi,Diaemus youngi,NA,Cave Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0015,BFR003,BFA005,Vespertilionidae,Eptesicus,Eptesicus furinalis,Eptesicus furinalis,NA,Cave Human-madestructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0016,BFR003,BFA005,Vespertilionidae,Myotis,Myotis albescens,Myotis albescens,NA,Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0017,BFR003,BFA005,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0018,BFR003,BFA006,Vespertilionidae,Eptesicus,Eptesicus furinalis,Eptesicus furinalis,NA,Cave Human-madestructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0019,BFR003,BFA006,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0020,BFR003,BFA007,Phyllostomidae,Artibeus,Artibeus planirostris,Artibeus planirostris,NA,Foliage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0021,BFR003,BFA007,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0022,BFR003,BFA008,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0023,BFR003,BFA009,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0024,BFR003,BFA010,Vespertilionidae,Myotis,Myotis keaysi,Myotis keaysi,NA,Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0025,BFR003,BFA011,Phyllostomidae,Anoura,Anoura caudifer,Anoura caudifer,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0026,BFR003,BFA011,Phyllostomidae,Artibeus,Artibeus planirostris,Artibeus planirostris,NA,Foliage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0027,BFR003,BFA011,Vespertilionidae,Eptesicus,Eptesicus furinalis,Eptesicus furinalis,NA,Cave Human-madestructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0028,BFR003,BFA011,Vespertilionidae,Myotis,Myotis albescens,Myotis albescens,NA,Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0029,BFR003,BFA011,Noctilionidae,Noctilio,Noctilio leporinus,Noctilio leporinus,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0030,BFR003,BFA011,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,NA,Cave Human-madestructure Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0031,BFR003,BFA011,Phyllostomidae,Sturnira,Sturnira oporaphillum,Sturnira oporaphillum,NA,Foliage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0032,BFR003,BFA012,Phyllostomidae,Artibeus,Artibeus planirostris,Artibeus planirostris,NA,Foliage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0033,BFR003,BFA013,Vespertilionidae,Myotis,Myotis albescens,Myotis albescens,NA,Treecavity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFBPOP0034,BFR003,BFA014,Vespertilionidae,Histiotus,Histiotus macrotus,Histiotus macrotus,NA,Cave Human-madestructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
