RefCode,Author,Year,Type,Reference,BatVouchers,FlyVouchers,AssociatedReferences
BFR001,Abundes-Gallegos et al.,2018,Article,"Abundes-Gallegos, J., M. Salas-Rojas, G. Galvez-Romero, L. Perea-Martínez, C. Y. Obregón-Morales, J. B. Morales-Malacara, B. B. Chomel, M. J. Stuckey, H. Moreno-Sandoval, A. García-Baltazar, B. Nogueda-Torres, G. Zuñiga, and A. Aguilar-Setién. 2018. Detection of Dengue Virus in Bat Flies (Diptera: Streblidae) of Common Vampire Bats, Desmodus rotundus , in Progreso, Hidalgo, Mexico. Vector-Borne and Zoonotic Diseases 18:70–73.",NA,NA,NA
BFR002,Ascuntar-Osnas et al.,2020,Article,"Ascuntar-Osnas, O., S. Montoya-Bustamante, and B. González-Chávez. 2020. Records of Streblidae (Diptera: Hippoboscoidea) in a tropical dry forest fragment in Colombia. Biota Colombiana 21:16–27.","Colección de Mamíferos de la Universidad del Valle (UV), Colombia.","Museo de Entomología de la Universidad del Valle (MUSENUV), Colombia.",NA
BFR003,Autino et al.,2009,Article,"Autino, A. G., G. L. Claps, M. S. Sánchez, and R. M. Barquez. 2009. New records of bat ectoparasites (Diptera, Hemiptera and Siphonaptera) from northern Argentina. Neotropical Entomology 38:165–177.","Colección Mamíferos Lillo (CML), Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucumán, Argentina; and at the Museo de La Plata (MLP), La Plata, Argentina.","Colección Mamíferos Lillo (CML) annexes, Argentina",NA
BFR004,Autino et al.,2011,Article,"Autino, A. G., G. L. Claps, R. M. Barquez, and M. M. Díaz. 2011. Ectoparasitic insects (Diptera: Streblidae and Siphonaptera: Ischnopsyllidae) of bats from Iquitos and surrounding areas (Loreto, Peru). Memórias do Instituto Oswaldo Cruz 106:917–925.","Museo de Historia Natural de San Marcos, Lima, Peru and the Colección Mamíferos Lillo (CML), Tucumán, Argentina","Annexes section of the Colección Mamíferos Lillo (CML), Argentina",NA
BFR005,Autino et al.,2020,Article,"Autino, A. G., F. M. Idoeta, G. L. Claps, and R. M. Barquez. 2020. Ectoparasite insects of bats from the fields and weedlands eco-region of Argentina. Papéis Avulsos de Zoologia 60:e20206064.","Colección Mamíferos Lillo (CML), Universidad Nacional de Tucumán, and in the Colección de Mastozoología del Museo de La Plata (Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Buenos Aires), Argentina.","CML Annexes Section, Argentina.",NA
BFR006,Azevedo & Linardi,2002,Article,"Azevedo, A. A., and P. M. Linardi. 2002. Streblidae (Diptera) of Phyllostomid Bats from Minas Gerais, Brazil. Memórias do Instituto Oswaldo Cruz 97:421–422.",NA,"Department of Parasitology and Department of Zoology, UFMG, Belo Horizonte, MG, Brazil.",NA
BFR007,Barbier et al.,2016,Article,"Barbier, E., J. G. Prado-Neto, and E. Bernard. 2016. Records of Bat Flies (Diptera: Nycteribiidae and Streblidae) in the Semi-Arid Caatinga in the State of Paraíba, Northeastern Brazil. Neotropical Entomology 45:740–745.","Mammal Collection of the Federal University of Pernambuco, Brazil",Entomological Collection of Federal University of Pernambuco (CE-UFPE). Brazil.,NA
BFR008,Barbier et al.,2021,Article,"Barbier, E., F. Falcão, and E. Bernard. 2021. Bat-ectoparasitic fly relationships in a seasonally dry tropical forest in Brazil. Parasitology Research 120:3507–3517.",NA,NA,NA
BFR009,Barbier & Graciolli,2016,Article,"Barbier, E., and G. Graciolli. 2016. Community of bat flies (Streblidae and Nycteribiidae) on bats in the Cerrado of Central-West Brazil: hosts, aggregation, prevalence, infestation intensity, and infracommunities. Studies on Neotropical Fauna and Environment 51:176–187.","Zoological Reference Collection of the Universidade Federal de Mato Grosso do Sul (ZUFMS), Brazil.",NA,NA
BFR010,Barbier et al.,2019,Article,"Barbier, E., G. Graciolli, and E. Bernard. 2019. Structure and composition of Nycteribiidae and Streblidae flies on bats along an environmental gradient in northeastern Brazil. Canadian Journal of Zoology 97:409–418.","Mammal Collection (UFPE) of Universidade Federal de Pernambuco, Brazil","Entomological Collection (CE–UFPE) of Universidade Federal de Pernambuco, Brazil.",NA
BFR011,Barbier et al.,2018,Article,"Barbier, E., F. Hintze, A. C. Jardelino, and E. Bernard. 2018. First Record of the Bat Ectoparasitic Fly Strebla proxima Wenzel, 1976 (Diptera: Streblidae) from Brazil. Entomological News 127:369–374.",NA,"Entomological Collection of the Federal University of Pernambuco (CE-UFPE), Brazil.",NA
BFR012,Barbier et al.,2019,Article,"Barbier, E., H. Nunes, P. A. da Rocha, F. L. Rocha, and P. Cordeiro-Estrela. 2019. Updated species list of the bat ectoparasitic flies (Diptera: Nycteribiidae and Streblidae) in the state of Paraíba, Northeastern Brazil. Revista Mexicana de Biodiversidad 90.",NA,"Entomological Collection of the Federal University of Pernambuco (CE-UFPE), Brazil.",NA
BFR013,Barbier et al.,2017,Article,"Barbier, E., A. Q. S. de Souza, J. P. Bezerra, J. O. F. Dos Santos, and W. R. T. Júnior. 2017. New Record, New Host, and Geographic Distribution of Basilia hughscotti Guimarães, 1946 (Diptera: Nycteribiidae). Entomological News 126:394–399.",NA,"Entomological Collection of the Federal University of Pernambuco (CE-UFPE), Brazil.",NA
BFR014,Barbier et al.,2019,Article,"Barbier, E., G. L. Urbieta, H. Nunes, S. S. Bomfim, and P. A. Da Rocha. 2019. High Specificity and Aggregation, But Low Prevalence in Bat-Fly Interactions in an Environmental Protection Area in Brazil. Acta Chiropterologica 21:443.","Mammal Collection of the Federal University of Sergipe (CMUFS), Brazil","Entomological Collection of the Federal University of Pernambuco (CE-UFPE), Brazil.",NA
