SiteCode,RefCode,YearStart,YearFinish,Duration,SamplingEffort,BatEcologicalScale,FlyEcologicalScale,BatSamplingMethod,SamplingNights,SamplingHours,SamplingMistnets,SamplingStrata,SamplingSeason,Observation
BFA001,BFR001,2014,2015,3,NA,Single,all,mist nets,NA,NA,NA,NA,NA,NA
BFA002,BFR002,2012,2012,8,2654208,all,all,mist nets,32,12,8,U,NA,NA
BFA003,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA004,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA005,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA006,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA007,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA008,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA009,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA010,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA011,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA012,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA013,BFR003,1995,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA014,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA015,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA016,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA017,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA018,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA019,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA020,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA021,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA022,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA023,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA024,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA025,BFR003,1998,2004,1,NA,all,all,mist nets,3,4,NA,NA,NA,NA
BFA026,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA027,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA028,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA029,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA030,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA031,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA032,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA033,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA034,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA035,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA036,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA037,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA038,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA039,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA040,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA041,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA042,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA043,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA044,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA045,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA046,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
BFA047,BFR004,2003,2006,NA,NA,all,all,mist nets,NA,7,NA,NA,NA,NA
