SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,1kmAlt,MeanAnnTemp,MeanAnnRain
BFA001,BFR001,Mexico,Hidalgo,Progreso,a cave roost,18.91194,-98.99,Not precise,NA,Rainforest,Balsas dry forests,Mesoamerica,NA,1301,22.7,918
BFA002,BFR002,Colombia,Cauca,Santander de Quilichao,Vereda el Carbonero,2.98849,-76.48,Not precise,Bushy vegetaion and low pastures,Cloud forest,Cauca Valley montane forests,Northern Andean,1153,1129,22.9,1969
BFA003,BFR003,Argentina,Salta,San Martín,"Piquirenda Viejo, 12.6 km al W",-22.33333,-63.83,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,775,920,20.3,988
BFA004,BFR003,Argentina,Salta,Santa Victoria,"Arroyo Arrazayal, 18km al NW del cruce de rutas 50 y 19, por ruta 19",-22.65000,-64.42,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,450,497,22.1,1229
BFA005,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 48.9km al NW del cruce con ruta nacional 50",-22.95000,-64.55,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,700,783,21,1045
BFA006,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 43.7km al NW del cruce con ruta nacional 50",-22.95000,-64.55,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,700,783,21,1045
BFA007,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 27km al W de la intersección con ruta nacional 50",-23.08333,-64.53,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,NA,799,20.5,977
BFA008,BFR003,Argentina,Salta,Orán,"Camino de inspección del gasoducto paralelo al camino de San Andrés, 40 km al NW del cruce de ruta 50 y 18",-23.08333,-64.63,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,96,711,20.6,980
BFA009,BFR003,Argentina,Jujuy,Ledesma,"Arroyo Yuto, 13 km SW Yuto, por ruta 34",-23.63333,-64.53,Not precise,NA,Deciduous forest,Southern Andean Yungas,Atlantic Forest,NA,428,21.5,818
BFA010,BFR003,Argentina,Jujuy,Dr. Manuel Belgrano,"Río Tiraxi, 1.5 km al E de Tiraxi por ruta 29",-23.98333,-65.32,Not precise,NA,Deciduous forest,Southern Andean Yungas,Atlantic Forest,1570,1692,15.2,605
BFA011,BFR003,Argentina,Jujuy,Dr. Manuel Belgrano,"Río Las Capillas, 15 km al N de Las Capillas, por ruta provincial 20",-24.03333,-65.12,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,NA,1084,16.9,827
BFA012,BFR003,Argentina,Jujuy,San Antonio,"Río Blanco, aproximadamente 9 km al E de San Antonio",-24.40000,-65.37,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,1543,1422,16.3,756
BFA013,BFR003,Argentina,Jujuy,San Pedro,"Río Lavayén, aproximadamente 1 km al N de Santa Rita",-24.46667,-64.80,Not precise,NA,Semideciduos forest,Dry Chaco,Atlantic Forest,NA,551,20.2,555
BFA014,BFR003,Argentina,Salta,Molinos,Laguna El Brealito,-25.28333,-66.37,Not precise,NA,Semideciduos forest,High Monte,Atlantic Forest,NA,2745,11.4,130
BFA015,BFR003,Argentina,Salta,Metán,"Río Las Conchas, 2 km al N y 6 km al W de Metán",-25.46667,-65.02,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,1027,989,18.3,688
BFA016,BFR003,Argentina,Misiones,Iguazú,"Puerto Península, 1 km al E",-25.68333,-54.62,Not precise,NA,Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,87,225,21,1697
BFA017,BFR003,Argentina,Misiones,Iguazú,"Puerto Península, 4.7 km al E",-25.70000,-54.60,Not precise,NA,Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,240,21.1,1697
BFA018,BFR003,Argentina,Salta,Candelaria,"Potrerillos, 3.9 km al N, por ruta provincial 6",-26.05000,-65.50,Not precise,NA,Semideciduos forest,Dry Chaco,Atlantic Forest,1214,1102,17.8,386
BFA019,BFR003,Argentina,Tucumán,Trancas,"La Junta, 22 km al W de Choromoro",-26.38333,-65.50,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,1013,1476,16.3,503
BFA020,BFR003,Argentina,Tucumán,Tafi Viejo,"Río Grande, 5 km al S de El Siambón,",-26.76667,-65.47,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,NA,944,18.2,856
BFA021,BFR003,Argentina,Chaco,Veinticinco de Mayo ,"Machagay, 15 km al S por ruta 16 entre Machagay y Quitilipi",-27.03333,-60.18,Not precise,NA,Seasonal floodplain forest,Humid Chaco,Atlantic Forest,160,89,21.3,1045
BFA022,BFR003,Argentina,Tucumán,Leales,Arroyo Mista,-27.21667,-65.17,Not precise,NA,Semideciduos forest,Dry Chaco,Atlantic Forest,NA,324,20.1,925
BFA023,BFR003,Argentina,Tucumán,Chicligasta,"Parque Provincial El Cochuna, camping",-27.30000,-65.90,Not precise,NA,Semideciduos forest,Southern Andean Yungas,Atlantic Forest,NA,1223,17.9,596
BFA024,BFR003,Argentina,Corrientes,Saladas,"Arroyo San Lorenzo y Ruta 12, aproximadamente 4 km al N de San Lorenzo al N de San Lorenzo",-28.11667,-58.77,Not precise,NA,seasonal floodplain forest,Humid Chaco,Atlantic Forest,NA,62,20.9,1101
BFA025,BFR003,Argentina,Corrientes,Santo Tomé,"Estancia La Blanca, 10 km al N de Santo Tomé sobre Río Uruguay",-28.48333,-55.95,Not precise,NA,Seasonal riverine forest,Uruguayan savanna,Atlantic Forest,96,58,20.8,1578
BFA026,BFR004,Peru,Loreto,Maynas,1 km E of km 25.3 of Iquitos-Nauta Highway (Fundo San Martin) (District of San Juan),-3.96590,-73.40431667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,148,26.3,2764
BFA027,BFR004,Peru,Loreto,Maynas,"13 de Febrero, Fundo Nemith, E km 33 of Iquitos-Nauta Highway (District of San Juan)",-4.02540,-73.4296,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,120,26.4,2713
BFA028,BFR004,Peru,Loreto,Maynas,App. 500 m E km 28.8 of Iquitos-Nauta Highway (District of San Juan),-3.98712,-73.41533333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,125,26.3,2743
BFA029,BFR004,Peru,Loreto,Maynas,"Asentamiento Bambu, Pasaje Los Cedros-Bambu (District of San Juan)",-3.76900,-73.28533333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,95,26.5,2848
BFA030,BFR004,Peru,Loreto,Maynas,"Asentamiento Heroes de Cenepa, Fundo Gallo Giro (District of San Juan)",-3.78740,-73.2863,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,92,26.5,2842
BFA031,BFR004,Peru,Loreto,Maynas,"Asentamiento Pacaya Samiria ""Complejo Deportivo SUTUNAP"" (calle San Lorenzo) (District of San Juan)",-3.76240,-73.2732,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,96,26.4,2856
BFA032,BFR004,Peru,Loreto,Maynas,"Boulevar, Puerto Salaverry, Malecón Street, Tarapacá (District of Iquitos)",-3.75277,-73.24411667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,91,26.4,2859
BFA033,BFR004,Peru,Loreto,Maynas,Comité La Coruña (Distriet of San Juan),-3.77535,-73.2984,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,90,26.5,2849
BFA034,BFR004,Peru,Loreto,Maynas,"Comunidad de Manacamiri, Nanay River, Fundo Morropon (Distriet of Punchana)",-3.70828,-73.30076667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2871
BFA035,BFR004,Peru,Loreto,Maynas,"Comunidad de Manacamiri,Nanay River, Fundo Morropon (Distriet of Punchana)",-3.70990,-73.30283333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,129,26.3,2872
BFA036,BFR004,Peru,Loreto,Maynas,"Comunidad Zona Centro Ex Petroleros, km 41 of lquitos-Naula Highway, app 5 km W (District of San Juan)",-4.06140,-73.4792,Precise,Primary and secondary forest,Rainforest,Napo moist forests,Amazonia,NA,121,26.3,2688
BFA037,BFR004,Peru,Loreto,Maynas,Estacion Experimental Agraria San Roque (District of San Juan),-3.78695,-73.29491667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2848
BFA038,BFR004,Peru,Loreto,Maynas,"Ex Petroleros, 300m W km 39.8 of Iquitos-Nauta 1 lighway (District of San Juan )",-4.07900,-73.453,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,119,26.4,2677
BFA039,BFR004,Peru,Loreto,Maynas,Iglesia Inmaculada (District of Punchana),-3.72897,-73.243,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,99,26.4,2859
BFA040,BFR004,Peru,Loreto,Maynas,"Iquitos Oeste, CESM ""Loreto"" (District of Iquitos)",-3.74495,-73.26283333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,89,26.4,2855
BFA041,BFR004,Peru,Loreto,Maynas,"lquitos, Edificio EsSalud (Raymoni-Napo streets) (District of Iquitos) ",-3.74903,-73.24355,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,104,26.4,2857
BFA042,BFR004,Peru,Loreto,Maynas,km 22.7 of Iquitos-Nauta Highway (District of San Juan),-3.93952,-73.39516667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,124,26.3,2780
BFA043,BFR004,Peru,Loreto,Maynas,"Los Delfines, km 9 of Iquitos-Nauta Highway (District of San Juan)",-3.84748,-73.33973333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,109,26.4,2834
BFA044,BFR004,Peru,Loreto,Maynas,Mazanillo (District of Belén),-3.82808,-73.21951667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,100,26.5,2822
BFA045,BFR004,Peru,Loreto,Maynas,Moena Caño (District of Belén),-3.77880,-73.22491667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,96,26.4,2843
BFA046,BFR004,Peru,Loreto,Maynas,"Moralillo, 1.5 km E 400 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan)",-3.90905,-73.34306667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,106,26.4,2796
BFA047,BFR004,Peru,Loreto,Maynas,"Moralillo, 1.5 km E 500 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan)",-3.90632,-73.34361667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,125,26.4,2805
