SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,Elevationfrom,MeanAnnTemp,MeanAnnRain,Observations
BFA001,BFR001,Mexico,Hidalgo,Progreso,a cave roost,18.91194,-98.99,Not precise,NA,Rainforest,Balsas dry forests,Mesoamerica,NA,1320,22.7,918,NA
BFA002,BFR002,Colombia,Cauca,Santander de Quilichao,Vereda el Carbonero,2.98849,-76.48,Not precise,Bushy vegetaion and low pastures,Cloud forest,Cauca Valley montane forests,Northern Andean,1153,1129,22.9,1969,NA
BFA003,BFR003,Argentina,Salta,San Martín,"Piquirenda Viejo, 12.6 km al W",-22.33333,-63.83,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,775,583,20.3,988,NA
BFA004,BFR003,Argentina,Salta,Santa Victoria,"Arroyo Arrazayal, 18km al NW del cruce de rutas 50 y 19, por ruta 19",-22.65000,-64.42,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,450,610,22.1,1229,NA
BFA005,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 48.9km al NW del cruce con ruta nacional 50",-22.95000,-64.55,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,700,615,21,1045,NA
BFA006,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 43.7km al NW del cruce con ruta nacional 50",-22.95000,-64.55,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,700,615,21,1045,NA
BFA007,BFR003,Argentina,Salta,Orán,"Camino a Isla de Cañas, Ruta 18, 27km al W de la intersección con ruta nacional 50",-23.08333,-64.53,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,NA,673,20.5,977,NA
BFA008,BFR003,Argentina,Salta,Orán,"Camino de inspección del gasoducto paralelo al camino de San Andrés, 40 km al NW del cruce de ruta 50 y 18",-23.08333,-64.63,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,96,721,20.6,980,NA
BFA009,BFR003,Argentina,Jujuy,Ledesma,"Arroyo Yuto, 13 km SW Yuto, por ruta 34",-23.63333,-64.53,Not precise,NA,Deciduous forest,Southern Andean Yungas,Atlantic Forest,NA,424,21.5,818,NA
BFA010,BFR003,Argentina,Jujuy,Dr. Manuel Belgrano,"Río Tiraxi, 1.5 km al E de Tiraxi por ruta 29",-23.98333,-65.32,Not precise,NA,Deciduous forest,Southern Andean Yungas,Atlantic Forest,1570,1534,15.2,605,NA
BFA011,BFR003,Argentina,Jujuy,Dr. Manuel Belgrano,"Río Las Capillas, 15 km al N de Las Capillas, por ruta provincial 20",-24.03333,-65.12,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,NA,1133,16.9,827,NA
BFA012,BFR003,Argentina,Jujuy,San Antonio,"Río Blanco, aproximadamente 9 km al E de San Antonio",-24.40000,-65.37,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,1543,1494,16.3,756,NA
BFA013,BFR003,Argentina,Jujuy,San Pedro,"Río Lavayén, aproximadamente 1 km al N de Santa Rita",-24.46667,-64.80,Not precise,NA,Semideciduous forest,Dry Chaco,Atlantic Forest,NA,527,20.2,555,NA
BFA014,BFR003,Argentina,Salta,Molinos,Laguna El Brealito,-25.28333,-66.37,Not precise,NA,Semideciduous forest,High Monte,Atlantic Forest,NA,2733,11.4,130,NA
BFA015,BFR003,Argentina,Salta,Metán,"Río Las Conchas, 2 km al N y 6 km al W de Metán",-25.46667,-65.02,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,1027,939,18.3,688,NA
BFA016,BFR003,Argentina,Misiones,Iguazú,"Puerto Península, 1 km al E",-25.68333,-54.62,Not precise,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,87,186,21,1697,NA
BFA017,BFR003,Argentina,Misiones,Iguazú,"Puerto Península, 4.7 km al E",-25.70000,-54.60,Not precise,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,220,21.1,1697,NA
BFA018,BFR003,Argentina,Salta,Candelaria,"Potrerillos, 3.9 km al N, por ruta provincial 6",-26.05000,-65.50,Not precise,NA,Semideciduous forest,Dry Chaco,Atlantic Forest,1214,1032,17.8,386,NA
BFA019,BFR003,Argentina,Tucumán,Trancas,"La Junta, 22 km al W de Choromoro",-26.38333,-65.50,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,1013,1221,16.3,503,NA
BFA020,BFR003,Argentina,Tucumán,Tafi Viejo,"Río Grande, 5 km al S de El Siambón,",-26.76667,-65.47,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,NA,902,18.2,856,NA
BFA021,BFR003,Argentina,Chaco,Veinticinco de Mayo ,"Machagay, 15 km al S por ruta 16 entre Machagay y Quitilipi",-27.03333,-60.18,Not precise,NA,Seasonal floodplain forest,Humid Chaco,Atlantic Forest,160,81,21.3,1045,NA
BFA022,BFR003,Argentina,Tucumán,Leales,Arroyo Mista,-27.21667,-65.17,Not precise,NA,Semideciduous forest,Dry Chaco,Atlantic Forest,NA,291,20.1,925,NA
BFA023,BFR003,Argentina,Tucumán,Chicligasta,"Parque Provincial El Cochuna, camping",-27.30000,-65.90,Not precise,NA,Semideciduous forest,Southern Andean Yungas,Atlantic Forest,NA,1100,17.9,596,NA
BFA024,BFR003,Argentina,Corrientes,Saladas,"Arroyo San Lorenzo y Ruta 12, aproximadamente 4 km al N de San Lorenzo al N de San Lorenzo",-28.11667,-58.77,Not precise,NA,seasonal floodplain forest,Humid Chaco,Atlantic Forest,NA,64,20.9,1101,NA
BFA025,BFR003,Argentina,Corrientes,Santo Tomé,"Estancia La Blanca, 10 km al N de Santo Tomé sobre Río Uruguay",-28.48333,-55.95,Not precise,NA,Seasonal riverine forest,Uruguayan savanna,Atlantic Forest,96,46,20.8,1578,NA
BFA026,BFR004,Peru,Loreto,Maynas,1 km E of km 25.3 of Iquitos-Nauta Highway (Fundo San Martin) (District of San Juan),-3.96590,-73.40431667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.3,2764,NA
BFA027,BFR004,Peru,Loreto,Maynas,"13 de Febrero, Fundo Nemith, E km 33 of Iquitos-Nauta Highway (District of San Juan)",-4.02540,-73.4296,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.4,2713,NA
BFA028,BFR004,Peru,Loreto,Maynas,App. 500 m E km 28.8 of Iquitos-Nauta Highway (District of San Juan),-3.98712,-73.41533333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.3,2743,NA
BFA029,BFR004,Peru,Loreto,Maynas,"Asentamiento Bambu, Pasaje Los Cedros-Bambu (District of San Juan)",-3.76900,-73.28533333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.5,2848,NA
BFA030,BFR004,Peru,Loreto,Maynas,"Asentamiento Heroes de Cenepa, Fundo Gallo Giro (District of San Juan)",-3.78740,-73.2863,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.5,2842,NA
BFA031,BFR004,Peru,Loreto,Maynas,"Asentamiento Pacaya Samiria ""Complejo Deportivo SUTUNAP"" (calle San Lorenzo) (District of San Juan)",-3.76240,-73.2732,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2856,NA
BFA032,BFR004,Peru,Loreto,Maynas,"Boulevar, Puerto Salaverry, Malecón Street, Tarapacá (District of Iquitos)",-3.75277,-73.24411667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2859,NA
BFA033,BFR004,Peru,Loreto,Maynas,Comité La Coruña (Distriet of San Juan),-3.77535,-73.2984,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.5,2849,NA
BFA034,BFR004,Peru,Loreto,Maynas,"Comunidad de Manacamiri, Nanay River, Fundo Morropon (Distriet of Punchana)",-3.70828,-73.30076667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2871,NA
BFA035,BFR004,Peru,Loreto,Maynas,"Comunidad de Manacamiri,Nanay River, Fundo Morropon (Distriet of Punchana)",-3.70990,-73.30283333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.3,2872,NA
BFA036,BFR004,Peru,Loreto,Maynas,"Comunidad Zona Centro Ex Petroleros, km 41 of lquitos-Naula Highway, app 5 km W (District of San Juan)",-4.06140,-73.4792,Precise,Primary and secondary forest,Rainforest,Napo moist forests,Amazonia,NA,115,26.3,2688,NA
BFA037,BFR004,Peru,Loreto,Maynas,Estacion Experimental Agraria San Roque (District of San Juan),-3.78695,-73.29491667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.4,2848,NA
BFA038,BFR004,Peru,Loreto,Maynas,"Ex Petroleros, 300m W km 39.8 of Iquitos-Nauta 1 lighway (District of San Juan )",-4.07900,-73.453,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.4,2677,NA
BFA039,BFR004,Peru,Loreto,Maynas,Iglesia Inmaculada (District of Punchana),-3.72897,-73.243,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,106,26.4,2859,NA
BFA040,BFR004,Peru,Loreto,Maynas,"Iquitos Oeste, CESM ""Loreto"" (District of Iquitos)",-3.74495,-73.26283333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2855,NA
BFA041,BFR004,Peru,Loreto,Maynas,"lquitos, Edificio EsSalud (Raymoni-Napo streets) (District of Iquitos) ",-3.74903,-73.24355,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2857,NA
BFA042,BFR004,Peru,Loreto,Maynas,km 22.7 of Iquitos-Nauta Highway (District of San Juan),-3.93952,-73.39516667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.3,2780,NA
BFA043,BFR004,Peru,Loreto,Maynas,"Los Delfines, km 9 of Iquitos-Nauta Highway (District of San Juan)",-3.84748,-73.33973333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.4,2834,NA
BFA044,BFR004,Peru,Loreto,Maynas,Mazanillo (District of Belén),-3.82808,-73.21951667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.5,2822,NA
BFA045,BFR004,Peru,Loreto,Maynas,Moena Caño (District of Belén),-3.77880,-73.22491667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2843,NA
BFA046,BFR004,Peru,Loreto,Maynas,"Moralillo, 1.5 km E 400 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan)",-3.90905,-73.34306667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2796,NA
BFA047,BFR004,Peru,Loreto,Maynas,"Moralillo, 1.5 km E 500 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan)",-3.90632,-73.34361667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2805,NA
BFA048,BFR004,Peru,Loreto,Maynas,"Moralillo, 2 km E of km 15.2 of lquitos-Nauta Highway (District of San Juan)",-3.90947,-73.33796667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.5,2793,NA
BFA049,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W of km 6 of Iquitos-Nauta Highway (District of San Juan)",-3.84172,-73.38078333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2829,NA
BFA050,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W, I km SE of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.84983,-73.37393333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.4,2832,NA
BFA051,BFR004,Peru,Loreto,Maynas,Padrecocha (town) (District of Punchana),-3.69658,-73.28311667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,107,26.4,2864,NA
BFA052,BFR004,Peru,Loreto,Maynas,"Paujil, W km 37.45 of Iquitos-Nauta Highway (District of San Juan)",-4.05878,-73.44225,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.4,2690,NA
BFA053,BFR004,Peru,Loreto,Maynas,"Peña Negra, 200 m E of km 10.7 of Iquitos-Nauta Highway (District of San Juan)",-3.86615,-73.33295,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.4,2824,NA
BFA054,BFR004,Peru,Loreto,Maynas,"Peña Negra, 600 m W of km 10 of Iquitos-Nauta Highway (District of San Juan)",-3.85537,-73.34515,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.4,2836,NA
BFA055,BFR004,Peru,Loreto,Maynas,"Peña Negra, 800 m E of km 11 of Iquitos-Nauta Highway (District of San Juan)",-3.87327,-73.33555,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2824,NA
BFA056,BFR004,Peru,Loreto,Maynas,"Recreo, Begonias street (District of San Juan)",-3.78082,-73.289,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,108,26.5,2848,NA
BFA057,BFR004,Peru,Loreto,Maynas,"Road to El Paujil, 1.8 km W of km 35 of Iquitos-Nauta Highway (District of San Juan)",-4.02028,-73.44645,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,114,26.3,2721,NA
BFA058,BFR004,Peru,Loreto,Maynas,"San Lucas, W km 43 of Iquitos-Nauta Highway (District of San Juan)",-4.10412,-73.46318333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,113,26.4,2660,NA
BFA059,BFR004,Peru,Loreto,Maynas,"Santo Tomás, 6 km W of km I of Iquitos-Nauta Highway (District of San Juan)",-3.80968,-73.33813333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,109,26.4,2844,NA
BFA060,BFR004,Peru,Loreto,Maynas,"Varillal, 2 km W of km 13.6 of lquitos-Nauta Highway (District of San Juan)",-3.88003,-73.36685,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2817,NA
BFA061,BFR004,Peru,Loreto,Maynas,"Varillal, 400 m W 200 m N of km 14 of Iquitos-Nauta Highway (District of San Juan)",-3.88248,-73.3548,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.4,2822,NA
BFA062,BFR004,Peru,Loreto,Maynas,Villa del Ejército (between 28 de Julio-Freyre Ave. and Piura Street) (District of Punchana) ,-3.72763,-73.24346667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,106,26.4,2859,NA
BFA063,BFR004,Peru,Loreto,Maynas,"Villa Victoria, INDECO (109 Pihuicho Street) (District of San Juan) ",-3.09823,-73.27741667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,121,26.2,2988,NA
BFA064,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.2 km W of km 6 of lquitos-Nauta Highway (District of San Juan)",-3.83457,-73.36828333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.5,2830,NA
BFA065,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.4 km W of km 6 of lquitos-Nauta Highway (District of San Juan) ",-3.83042,-73.37146667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,110,26.5,2836,NA
BFA066,BFR004,Peru,Loreto,Maynas,"Zungarococha, 6 5 km W of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.83398,-73.37725,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,26.5,2830,NA
BFA067,BFR004,Peru,Loreto,Ibera,Tapiche River (District of Tapiche),-5.66667,-74.15,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,122,27,2258,NA
BFA068,BFR005,Argentina,Misiones ,Candelaria,"Camping Japonés, Arroyo Yabebiry, Loreto ",-27.28333,-55.5,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,86,21.1,1712,NA
BFA069,BFR005,Argentina,Misiones,Candelaria,Candelaria,-27.46667,-55.75,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,91,21,1700,NA
BFA070,BFR005,Argentina,Misiones,Candelaria,"Candelaria, Balneario Arroyo Garupá ",-27.48333,-55.73333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,73,21.1,1703,NA
BFA071,BFR005,Argentina,Misiones,Concepción,"Estancia Prates, Barra Concepción ",-28.08333,-55.53333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,83,20.9,1712,NA
BFA072,BFR005,Argentina,Misiones,San Ignacio,Osununú ,-27.26667,-55.56666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,95,21.1,1727,NA
BFA073,BFR005,Argentina,Misiones,Candelaria,Parque Provincial Cañadón de Profundidad ,-27.55000,-55.7,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,107,20.9,1703,NA
BFA074,BFR005,Argentina,Misiones,Apóstoles,"Parque Provincial de la Sierra “Ingeniero Agrónomo Martínez-Crovetto”, Municipio de San José, 210 m ",-27.73333,-55.55,not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,164,20.7,1722,NA
BFA075,BFR005,Argentina,Misiones,San Ignacio,Parque Provincial Teyú Cuaré ,-27.28333,-55.58333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,161,21.2,1722,NA
BFA076,BFR005,Argentina,Misiones,Capital,Reserva Ecológica Tupá Puojhá (Fachinal) ,-27.61667,-55.71666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,139,20.8,1704,NA
BFA077,BFR005,Argentina,Misiones,Concepción de la Sierra,Ruinas Santa María ,-27.88333,-55.33333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduous forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,134,20.7,1748,NA
BFA078,BFR005,Argentina,Corrientes,General San Martín,Yapeyú ,-29.46667,-56.81666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Seasonal riverine forest,Uruguayan savanna,Atlantic Forest,NA,47,20.2,1329,NA
BFA079,BFR006,Brazil,Minas Gerais,Belo Horizonte,the Reserve “Parque Estadual do Rio Doce” located at 210 km from Belo Horizonte,-19.64167,-42.63333333,Precise,Atlantic rainforest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,NA,301,23.3,1164,NA
BFA080,BFR007,Brazil,Paraíba,Santa Teresinha,Tamanduá Farm,-7.00389,-37.34388889,Precise,deciduos vegetation,Rainforest,Caatinga,Atlantic Forest,270,288,25.2,761,NA
BFA081,BFR008,Brazil,Bahia,Bahia,Catinga dry forest,-14.07249,-42.35739,Not precise,hyperxerophilous  and hypoxerophytic vegetation and humid forest enclaves,Deciduous forest,Atlantic dry forests,Caatinga,900,609,21.5,828,NA
BFA082,BFR009,Brazil,Mato Grosso do Sul,Aquidauana,"The Morro (Hill) do Paxixi, district of Camisão, municipality of Aquidauana",-20.45039,-55.62121389,Precise,"Cerrado vegetation, sesonal deciduous forest, and semi-deciduous forest",Semideciduous forest,Cerrado,Atlantic Forest,383,393,23.2,1451,NA
BFA083,BFR010,Brazil,Pernambuco,Pernambuco,The Saltinho Biological Station,-8.73267,-35.173821,Not precise,Secundary forest in advanced natural regeneration,Rainforest,Pernambuco coastal forests,Atlantic Forest,NA,32,24,1884,NA
BFA084,BFR010,Brazil,Pernambuco,Chã Grande,The agreste,-8.23923,-35.461196,Not precise,Transition vegetation between Atlantic forest and Caatinga,Rainforest,Pernambuco interior forests,Atlantic Forest,NA,456,22.1,1029,NA
BFA085,BFR010,Brazil,Pernambuco,Pernambuco,The Catimbau National Park,-8.59230,-37.247671,Not precise,Caatinga,Rainforest,Caatinga,Atlantic Forest,NA,849,21.2,816,NA
BFA086,BFR011,Brazil,Pará,Parauapebas,Cave in the Carajás National Forest,-6.03372,-50.16867222,Precise,NA,Savanna woodland,Xingu-Tocantins-Araguaia moist forests,Cerrado,514,732,24,1902,NA
BFA087,BFR012,Brazil,Paraíba,João Pessoa,Mata do Buraquinho Wildlife Refuge,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA088,BFR012,Brazil,Paraíba,João Pessoa,Restinga de Cabedelo National Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA089,BFR012,Brazil,Paraíba,João Pessoa,Cuiá Natural Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA090,BFR012,Brazil,Paraíba,João Pessoa,Arruda Câmara Zoobotanical Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA091,BFR012,Brazil,Paraíba,João Pessoa,Cidade Verde Municipal Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA092,BFR012,Brazil,Paraíba,João Pessoa,Alto de Mateus,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA093,BFR012,Brazil,Paraíba,João Pessoa,Bairro dos Novaes,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA094,BFR012,Brazil,Paraíba,João Pessoa,Funcionários IV,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA095,BFR012,Brazil,Paraíba,João Pessoa,Jardim Veneza,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA096,BFR012,Brazil,Paraíba,João Pessoa,Paratibe,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA097,BFR012,Brazil,Paraíba,João Pessoa,Penha,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953,NA
BFA098,BFR013,Brazil,Pernambuco,São Lourenço da Mata,Ecological Station of Tapacurá,-8.00222,-35.01833333,Precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,31,25.2,1599,NA
BFA099,BFR014,Brazil,Sergipe,Nossa Senhora do Socorra,Ibura National Forest,-10.84056,-37.14222222,Precise,"Atlantic Forest domain, with semideciduous seasonal forest formations in intermediate and advanced stages of regeneration",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,26,25.5,1385,NA
BFA100,BFR015,Brazil,São Paulo,São Paulo,The Parque Estadual da Cantareira,-23.40000,-46.59166667,Precise,Atlantic rain forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,1250,915,17.1,1432,NA
BFA101,BFR016,Brazil,Sergipe,Itaporanga d’Ajuda,Reserva Particular do Patrimônio Natural do Caju RPPN do Caju,-11.11990,-37.184222,Precise,Atlantic Forest associated with restinga habitats,Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,19,25.4,1428,NA
BFA102,BFR017,Brazil,Sergipe,Sergipe,Serra de Itabaiana National Park (PNSI),-10.769095,-37.33692,Precise,"Forest areas, natural open areas and disturbed open areas",Coastal sandy mosaic,Caatinga,Atlantic Forest,NA,254,24,1297,NA
