InteractionSpeciesCode,BatPopulationCode,FlyPopulationCode,RefCode,SiteCode,CurrentBatSpecies,BatSubspecies,CurrentFlySpecies,FlySubspecies,NumberInteractions,NumberInteractionsByFlyFemales,NumberInteractionsByFlyMales,NumberInteractionsByFlyUndetermined,BatInfested,BatInfestedFemales,BatInfestedMales,Prevalence,PrevalenceOnBatFemales,PrevalenceOnBatMales,MeanFlyIntensity,MeanFlyIntensityOnBatFemales,MeanFlyIntensityOnBatMales,MeanFlyAbundance,MeanFlyAbundaceOnBatFemales,MeanFlyAbundanceOnBatMales,Observations
BFSSI0001,BFBPOP0001,BFFPOP0001,BFR001,BFA001,Desmodus rotundus,NA,Strebla wiedemanni,NA,121,0,0,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0002,BFBPOP0001,BFFPOP0002,BFR001,BFA001,Desmodus rotundus,NA,Trichobius parasiticus,NA,436,0,0,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0003,BFBPOP0002,BFFPOP0003,BFR002,BFA002,Anoura latidens,NA,Anastrebla modestini,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0004,BFBPOP0002,BFFPOP0006,BFR002,BFA002,Anoura latidens,NA,Exastinion clovisi,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0005,BFBPOP0003,BFFPOP0004,BFR002,BFA002,Artibeus lituratus,NA,Metelasmus pseudopterus,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0006,BFBPOP0003,BFFPOP0007,BFR002,BFA002,Artibeus lituratus,NA,Megistopoda aranea,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0007,BFBPOP0003,BFFPOP0009,BFR002,BFA002,Artibeus lituratus,NA,Paratrichobius longicrus,NA,49,21,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0008,BFBPOP0004,BFFPOP0011,BFR002,BFA002,Carollia castanea,NA,Trichobius joblingi,NA,6,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0009,BFBPOP0005,BFFPOP0011,BFR002,BFA002,Carollia perspicillata,NA,Trichobius joblingi,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0010,BFBPOP0006,BFFPOP0011,BFR002,BFA002,Phyllostomus discolor,NA,Trichobius joblingi,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0011,BFBPOP0006,BFFPOP0010,BFR002,BFA002,Phyllostomus discolor,NA,Trichobius costalimai,NA,8,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0012,BFBPOP0007,BFFPOP0012,BFR002,BFA002,Phyllostomus hastatus,NA,Trichobius longipes,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0013,BFBPOP0008,BFFPOP0005,BFR002,BFA002,Sturnira giannae,NA,Aspidoptera delatorrei,NA,4,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0014,BFBPOP0008,BFFPOP0008,BFR002,BFA002,Sturnira giannae,NA,Megistopoda proxima,NA,9,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0015,BFBPOP0009,BFFPOP0013,BFR003,BFA003,Artibeus planirostris,NA,Aspidoptera phyllostomatis,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0016,BFBPOP0009,BFFPOP0014,BFR003,BFA003,Artibeus planirostris,NA,Megistopoda aranea,NA,6,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0017,BFBPOP0009,BFFPOP0015,BFR003,BFA003,Artibeus planirostris,NA,Metelasmus pseudopterus,NA,6,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFSSI0018,BFBPOP0010,BFFPOP0016,BFR003,BFA003,Chrotopterus auritus,NA,Strebla chrotopteri,NA,11,3,8,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
