assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
518549,136503,Plecotus sardus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,sardus,,,,"Mucedda, Kiefer, Pidinchedda, &amp; Veith, 2002",Vulnerable,B2ab(iii),3.1,Decreasing,"Global, Europe & Mediterranean"
518740,136680,Myotis alcathoe,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,alcathoe,,,,"von Helversen &amp; Heller, 2001",Data Deficient,,3.1,Unknown,Global & Europe
546843,14922,Nyctalus azoreum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Nyctalus,azoreum,,,,"(Thomas, 1901)",Vulnerable,C2a(i),3.1,Decreasing,"Global, Europe & Mediterranean"
1380378,17315,Pipistrellus maderensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Pipistrellus,maderensis,,,,"(Dobson, 1878)",Vulnerable,C2a(i),3.1,Decreasing,"Global, Europe & Mediterranean"
1424721,17602,Plecotus teneriffae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,teneriffae,,,,"Barret-Hamilton, 1907",Vulnerable,"B1ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
3231619,10967,Phoniscus aerosa,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Phoniscus,aerosa,,,,"(Tomes, 1858)",Data Deficient,,3.1,Unknown,Global
3401295,12948,Megaerops wetmorei,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Megaerops,wetmorei,,,,"Taylor, 1934",Vulnerable,A4c,3.1,Decreasing,Global
4269513,136288,Myotis hajastanicus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,hajastanicus,,,,"Argyropulo, 1939",Critically Endangered,D,3.1,Unknown,Global
4296825,136473,Plecotus kolombatovici,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,kolombatovici,,,,"Dulic, 1980",Least Concern,,3.1,Decreasing,Global & Mediterranean
4311281,136562,Nycticeius aenobarbus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Nycticeius,aenobarbus,,,,"Temminck, 1840",Data Deficient,,3.1,Unknown,Global
4318302,136612,Scotophilus collinus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Scotophilus,collinus,,,,"Sody, 1936",Least Concern,,3.1,Unknown,Global
8593657,18766,Pteropus vampyrus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteropus,vampyrus,,,,"(Linnaeus, 1758)",Near Threatened,,3.1,Decreasing,Global
8976934,19558,Rhinolophus paradoxolophus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,paradoxolophus,,,,"(Bourret, 1951)",Least Concern,,3.1,Unknown,Global
9140239,20059,Scotonycteris ophiodon,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Scotonycteris,ophiodon,,,,"Pohle, 1943",Near Threatened,,3.1,Decreasing,Global
9141459,20065,Scotophilus celebensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Scotophilus,celebensis,,,,"Sody, 1928",Data Deficient,,3.1,Unknown,Global
9300617,2155,Aselliscus stoliczkanus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Aselliscus,stoliczkanus,,,,"(Dobson, 1871)",Least Concern,,3.1,Unknown,Global
10938072,44782,Rhinolophus hillorum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,hillorum,,,,"Koopman, 1989",Near Threatened,,3.1,Decreasing,Global
11112095,5076,Coelops robinsoni,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Coelops,robinsoni,,,,"Bonhote, 1908",Vulnerable,A4c,3.1,Decreasing,Global
21970780,10969,Kerivoula argentata,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,argentata,,,,"Tomes, 1861",Least Concern,,3.1,Unknown,Global
21970973,10970,Phoniscus atrox,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Phoniscus,atrox,,,,"Miller, 1905",Near Threatened,A2c,3.1,Decreasing,Global
21971185,19516,Rhinolophus euryale,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,euryale,,,,"Blasius, 1853",Near Threatened,,3.1,Decreasing,Global
21971535,8771,Furipterus horrens,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,FURIPTERIDAE,Furipterus,horrens,,,,"(F. Cuvier, 1828)",Least Concern,,3.1,Unknown,Global
21971681,17572,Platyrrhinus recifinus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,recifinus,,,,"(Thomas, 1901)",Least Concern,,3.1,Unknown,Global
21971772,10971,Kerivoula cuprosa,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,cuprosa,,,,"Thomas, 1912",Data Deficient,,3.1,Unknown,Global
21971889,17571,Platyrrhinus infuscus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,infuscus,,,,"(Peters, 1880)",Least Concern,,3.1,Unknown,Global
21971992,10972,Kerivoula eriophora,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,eriophora,,,,"(Heuglin, 1877)",Data Deficient,,3.1,Unknown,Global
21972073,19515,Rhinolophus blasii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,blasii,,,,"Peters, 1867",Least Concern,,3.1,Decreasing,Global
21972409,17574,Platyrrhinus vittatus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Platyrrhinus,vittatus,,,,"(Peters, 1860)",Least Concern,,3.1,Unknown,Global
21972501,136505,Dermanura rosenbergi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Dermanura,rosenbergi,,,,"Thomas, 1897",Data Deficient,,3.1,Unknown,Global
21972598,10973,Kerivoula flora,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,flora,,,,"Thomas, 1914",Vulnerable,A4c,3.1,Decreasing,Global
21972794,19518,Rhinolophus hipposideros,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,hipposideros,,,,"(Bechstein, 1800)",Least Concern,,3.1,Decreasing,Global
21973253,19517,Rhinolophus ferrumequinum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOLOPHIDAE,Rhinolophus,ferrumequinum,,,,"(Schreber, 1774)",Least Concern,,3.1,Decreasing,Global
21973742,154195594,Kerivoula hardwickii,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Kerivoula,hardwickii,,,,"(Horsfield, 1824)",Least Concern,,3.1,Stable,Global
