BatPopulationCode;RefCode;SiteCode;BatSuborder;BatFamily;BatGenus;BatSpecies;CurrentBatSpecies;BatRoost;BatCaptureNumber;BatMarks;BatFemales;BatMales;BatJuvenile;BatAdult;BatLactatingFemales;BatNonreproductiveFemales;BatPregnantFemales;BatNonreproductiveMales;BatScrotalTestesMales;
BFBPOP0001;BFR001;BFA001;Yangochiroptera;Phyllostomidae;Desmodus;Desmodus rotundus;Desmodus rotundus;caves;160;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0002;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Anoura;Anoura carishina;Anoura carishina;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0003;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus lituratus;Artibeus lituratus;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0004;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Carollia;Carollia castanea;Carollia castanea;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0005;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Carollia;Carollia perspicillata;Carollia perspicillata;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0006;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus discolor;Phyllostomus discolor;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0007;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Phyllostomus;Phyllostomus hastatus;Phyllostomus hastatus;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0008;BFR002;BFA002;Yangochiroptera;Phyllostomidae;Sturnira;Sturnira lilium;Sturnira giannae;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0009;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Artibeus;Artibeus planirostris;Artibeus planirostris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BFBPOP0010;BFR003;BFA003;Yangochiroptera;Phyllostomidae;Chrotopterus;Chrotopterus auritus;Chrotopterus auritus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
