FlyPopulationCode;RefCode;SiteCode;FlyFamily;FlyGenus;FlySpecies;FlySubspecies;CurrentFlySpecies;FlyCaptureNumber;FlyFemales;FlyMales;FlyUndetermined;
BFFPOP0001;BFR001;BFA001;Streblidae;Strebla;Strebla wiedemanni;;Strebla wiedemanni;121;NA;NA;121;
BFFPOP0002;BFR001;BFA001;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;436;NA;NA;436;
BFFPOP0003;BFR002;BFA002;Streblidae;Anastrebla;Anastrebla modestini;;Anastrebla modestini;1;1;0;0;
BFFPOP0004;BFR002;BFA002;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;1;0;1;0;
BFFPOP0005;BFR002;BFA002;Streblidae;Aspidoptera;Aspidoptera delatorrei;;Aspidoptera delatorrei;4;1;3;0;
BFFPOP0006;BFR002;BFA002;Streblidae;Exastinion;Exastinion clovisi;;Exastinion clovisi;2;2;0;0;
BFFPOP0007;BFR002;BFA002;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;0;1;0;
BFFPOP0008;BFR002;BFA002;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;9;5;4;0;
BFFPOP0009;BFR002;BFA002;Streblidae;Paratrichobius;Paratrichobius longicrus;;Paratrichobius longicrus;49;21;28;0;
BFFPOP0010;BFR002;BFA002;Streblidae;Trichobius;Trichobius costalimai;;Trichobius costalimai;8;3;5;0;
BFFPOP0011;BFR002;BFA002;Streblidae;Trichobius;Trichobius joblingi;;Trichobius joblingi;9;5;4;0;
BFFPOP0012;BFR002;BFA002;Streblidae;Trichobius;Trichobius longipes;;Trichobius longipes;1;0;1;0;
BFFPOP0013;BFR003;BFA003;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;2;2;0;0;
BFFPOP0014;BFR003;BFA003;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;6;5;1;0;
BFFPOP0015;BFR003;BFA003;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;6;5;1;0;
BFFPOP0016;BFR003;BFA003;Streblidae;Strebla;Strebla chrotopteri;;Strebla chrotopteri;11;3;8;0;
BFFPOP0017;BFR003;BFA003;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;1;1;0;0;
BFFPOP0018;BFR003;BFA003;Nycteribiidae;Basilia;Basilia neamericana;;Basilia neamericana;1;0;1;0;
BFFPOP0019;BFR003;BFA003;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;1;0;0;
BFFPOP0020;BFR003;BFA004;Streblidae;Strebla;Strebla diaemi;;Strebla diaemi;5;0;5;0;
BFFPOP0021;BFR003;BFA005;Nycteribiidae;Basilia;Basilia neamericana;;Basilia neamericana;5;1;4;0;
BFFPOP0022;BFR003;BFA005;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;1;1;0;0;
BFFPOP0023;BFR003;BFA005;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;17;11;6;0;
BFFPOP0024;BFR003;BFA006;Nycteribiidae;Basilia;Basilia neamericana;;Basilia neamericana;4;3;1;0;
BFFPOP0025;BFR003;BFA006;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;14;10;4;0;
BFFPOP0026;BFR003;BFA007;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0027;BFR003;BFA007;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;1;1;0;0;
BFFPOP0028;BFR003;BFA007;Streblidae;Aspidoptera;Aspidoptera phyllostomatis;;Aspidoptera phyllostomatis;2;2;0;0;
BFFPOP0029;BFR003;BFA007;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;13;9;4;0;
BFFPOP0030;BFR003;BFA008;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;0;1;0;
BFFPOP0031;BFR003;BFA009;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;1;1;0;0;
BFFPOP0032;BFR003;BFA010;Streblidae;Anatrichobius;Anatrichobius scorzai;;Anatrichobius scorzai;1;0;1;0;
BFFPOP0033;BFR003;BFA011;Streblidae;Anastrebla;Anastrebla caudiferae;;Anastrebla caudiferae;4;2;2;0;
BFFPOP0034;BFR003;BFA011;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;8;6;2;0;
BFFPOP0035;BFR003;BFA011;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;1;1;0;0;
BFFPOP0036;BFR003;BFA011;Nycteribiidae;Basilia;Basilia neamericana;;Basilia neamericana;3;2;1;0;
BFFPOP0037;BFR003;BFA011;Streblidae;Anatrichobius;Anatrichobius scorzai;;Anatrichobius scorzai;1;1;0;0;
BFFPOP0038;BFR003;BFA011;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;1;0;1;0;
BFFPOP0039;BFR003;BFA011;Streblidae;Noctiliostrebla;Noctiliostrebla aitkeni;;Noctiliostrebla aitkeni;10;5;5;0;
BFFPOP0040;BFR003;BFA011;Streblidae;Paradyschiria;Paradyschiria fusca;;Paradyschiria fusca;9;7;2;0;
BFFPOP0041;BFR003;BFA011;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;21;10;11;0;
BFFPOP0042;BFR003;BFA012;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;2;2;0;0;
BFFPOP0043;BFR003;BFA012;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;4;2;2;0;
BFFPOP0044;BFR003;BFA013;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;2;1;1;0;
BFFPOP0045;BFR003;BFA014;Nycteribiidae;Basilia;Basilia plaumanni;;Basilia plaumanni;9;4;5;0;
BFFPOP0046;BFR003;BFA015;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;2;1;1;0;
BFFPOP0047;BFR003;BFA016;Streblidae;Basilia;Basilia carteri;;Basilia carteri;5;2;3;0;
BFFPOP0048;BFR003;BFA017;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;2;2;0;0;
BFFPOP0049;BFR003;BFA017;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;2;2;0;0;
BFFPOP0050;BFR003;BFA018;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0051;BFR003;BFA018;Nycteribiidae;Basilia;Basilia neamericana;;Basilia neamericana;5;3;2;0;
BFFPOP0052;BFR003;BFA019;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0053;BFR003;BFA019;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;1;1;0;0;
BFFPOP0054;BFR003;BFA020;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0055;BFR003;BFA020;Streblidae;Metelasmus;Metelasmus pseudopterus;;Metelasmus pseudopterus;2;0;2;0;
BFFPOP0056;BFR003;BFA020;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;1;0;1;0;
BFFPOP0057;BFR003;BFA021;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;2;2;0;0;
BFFPOP0058;BFR003;BFA022;Nycteribiidae;Basilia;Basilia carteri;;Basilia carteri;1;1;0;0;
BFFPOP0059;BFR003;BFA023;Streblidae;Trichobius;Trichobius parasiticus;;Trichobius parasiticus;1;0;1;0;
BFFPOP0060;BFR003;BFA024;Streblidae;Noctiliostrebla;Noctiliostrebla aitkeni;;Noctiliostrebla aitkeni;4;2;2;0;
BFFPOP0061;BFR003;BFA024;Streblidae;Noctiliostrebla;Noctiliostrebla dubia;;Noctiliostrebla dubia;5;2;3;0;
BFFPOP0062;BFR003;BFA024;Streblidae;Paradyschiria;Paradyschiria fusca;;Paradyschiria fusca;13;7;6;0;
BFFPOP0063;BFR003;BFA024;Streblidae;Paradyschiria;Paradyschiria sp.;;Paradyschiria sp.;8;7;1;0;
BFFPOP0064;BFR003;BFA024;Streblidae;Xenotrichobius;Xenotrichobius noctilionis;;Xenotrichobius noctilionis;3;1;2;0;
BFFPOP0065;BFR003;BFA025;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;1;1;0;0;
BFFPOP0066;BFR004;BFA026;Streblidae;Strebla;Strebla consocia;;Strebla consocia;2;1;0;1;
BFFPOP0067;BFR004;BFA026;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;4;1;3;0;
BFFPOP0068;BFR004;BFA026;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;2;1;1;0;
BFFPOP0069;BFR004;BFA026;Streblidae;Strebla;Strebla obtusa;;Strebla obtusa;1;1;0;0;
BFFPOP0070;BFR004;BFA026;Streblidae;Strebla;Strebla tonatiae;;Strebla tonatiae;2;1;1;0;
BFFPOP0071;BFR004;BFA026;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;3;1;2;0;
BFFPOP0072;BFR004;BFA026;Streblidae;Paratrichobius;Paratrichobius dunni;;Paratrichobius dunni;1;0;1;0;
BFFPOP0073;BFR004;BFA026;Streblidae;Pseudostrebla;Pseudostrebla ribeiroi;;Pseudostrebla ribeiroi;1;0;1;0;
BFFPOP0074;BFR004;BFA027;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;3;3;0;0;
BFFPOP0075;BFR004;BFA027;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;4;2;2;0;
BFFPOP0076;BFR004;BFA027;Streblidae;Paratrichobius;Paratrichobius dunni;;Paratrichobius dunni;1;1;0;0;
BFFPOP0077;BFR004;BFA028;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;3;2;1;0;
BFFPOP0078;BFR004;BFA028;Streblidae;Neotrichobius;Neotrichobius ectophyllae;;Neotrichobius ectophyllae;2;1;1;0;
BFFPOP0079;BFR004;BFA029;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;3;3;0;0;
BFFPOP0080;BFR004;BFA030;Streblidae;Paradyschiria;Paradyschiria parvula;;Paradyschiria parvula;1;1;0;0;
BFFPOP0081;BFR004;BFA031;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;3;2;1;0;
BFFPOP0082;BFR004;BFA032;Streblidae;Strebla;Strebla hertigi;;Strebla hertigi;11;8;3;0;
BFFPOP0083;BFR004;BFA032;Streblidae;Paradyschiria;Paradyschiria parvula;;Paradyschiria parvula;15;4;11;0;
BFFPOP0084;BFR004;BFA033;Streblidae;Strebla;Strebla consocia;;Strebla consocia;9;2;7;0;
BFFPOP0085;BFR004;BFA033;Streblidae;Strebla;Strebla galindoi;;Strebla galindoi;2;0;2;0;
BFFPOP0086;BFR004;BFA033;Streblidae;Strebla;Strebla guajiro;;Strebla guajiro;3;3;0;0;
BFFPOP0087;BFR004;BFA033;Streblidae;Aspidoptera;Aspidoptera falcata;;Aspidoptera falcata;1;1;0;0;
BFFPOP0088;BFR004;BFA033;Streblidae;Megistopoda;Megistopoda proxima;;Megistopoda proxima;3;2;1;0;
BFFPOP0089;BFR004;BFA033;Streblidae;Neotrichobius;Neotrichobius delicatus;;Neotrichobius delicatus;1;0;1;0;
BFFPOP0090;BFR004;BFA034;Streblidae;Megistopoda;Megistopoda aranea;;Megistopoda aranea;3;1;2;0;
