SiteCode;RefCode;Country;State;Municipality;Locality;Latitude;Longitude;Precision;Vegetation;VegType;Domain;Elevation;Protection;MeanAnnTemp;MeanAnnRain
BFA001;BFR001;Mexico;Hidalgo;Progreso;a cave roost;18.91194;-98.99;Not precise;NA;NA;NA;NA;No;22.7;918
BFA002;BFR002;Colombia;Cauca;Santander de Quilichao;Vereda el Carbonero;2.98849;-76.48;Not precise;Bushy vegetaion and low pastures;NA;NA;1132-1174;No;22.9;1969
BFA003;BFR003;Argentina;Salta;San Martín;Piquirenda Viejo, 12.6 km al W;-22.33333;-63.83;Not precise;NA;Semideciduous fores;Atlantic Forest;775;No;20.3;988
BFA004;BFR003;Argentina;Salta;Santa Victoria;Arroyo Arrazayal, 18km al NW del cruce de rutas 50 y 19, por ruta 19;-22.65000;-64.42;Not precise;NA;Semideciduous fores;Atlantic Forest;450;No;22.1;1229
BFA005;BFR003;Argentina;Salta;Orán;Camino a Isla de Cañas, Ruta 18, 48.9km al NW del cruce con ruta nacional 50;-22.95000;-64.55;Not precise;NA;Semideciduous fores;Atlantic Forest;700;No;21;1045
BFA006;BFR003;Argentina;Salta;Orán;Camino a Isla de Cañas, Ruta 18, 43.7km al NW del cruce con ruta nacional 50;-22.95000;-64.55;Not precise;NA;Semideciduous fores;Atlantic Forest;700;No;21;1045
BFA007;BFR003;Argentina;Salta;Orán;Camino a Isla de Cañas, Ruta 18, 27km al W de la intersección con ruta nacional 50;-23.08333;-64.53;Not precise;NA;Semideciduous fores;Atlantic Forest;NA;No;20.5;977
BFA008;BFR003;Argentina;Salta;Orán;Camino de inspección del gasoducto paralelo al camino de San Andrés, 40 km al NW del cruce de ruta 50 y 18;-23.08333;-64.63;Not precise;NA;Semideciduous fores;Atlantic Forest;96;No;20.6;980
BFA009;BFR003;Argentina;Jujuy;Ledesma;Arroyo Yuto, 13 km SW Yuto, por ruta 34;-23.63333;-64.53;Not precise;NA;Deciduous forest;Atlantic Forest;NA;No;21.5;818
BFA010;BFR003;Argentina;Jujuy;Dr. Manuel Belgrano;Río Tiraxi, 1.5 km al E de Tiraxi por ruta 29;-23.98333;-65.32;Not precise;NA;Deciduous forest;Atlantic Forest;1570;No;15.2;605
BFA011;BFR003;Argentina;Jujuy;Dr. Manuel Belgrano;Río Las Capillas, 15 km al N de Las Capillas, por ruta provincial 20;-24.03333;-65.12;Not precise;NA;Semideciduous forest;Atlantic Forest;NA;No;16.9;827
BFA012;BFR003;Argentina;Jujuy;San Antonio;Río Blanco, aproximadamente 9 km al E de San Antonio;-24.40000;-65.37;Not precise;NA;Semideciduous forest;Atlantic Forest;1543;No;16.3;756
BFA013;BFR003;Argentina;Jujuy;San Pedro;Río Lavayén, aproximadamente 1 km al N de Santa Rita;-24.46667;-64.80;Not precise;NA;Semideciduous forest;Atlantic Forest;NA;No;20.2;555
BFA014;BFR003;Argentina;Salta;Molinos;Laguna El Brealito;-25.28333;-66.37;Not precise;NA;Semideciduous fores;Atlantic Forest;NA;No;11.4;130
BFA015;BFR003;Argentina;Salta;Metán;Río Las Conchas, 2 km al N y 6 km al W de Metán;-25.46667;-65.02;Not precise;NA;Semideciduous fores;Atlantic Forest;1027;No;18.3;688
BFA016;BFR003;Argentina;Misiones;Iguazú;Puerto Península, 1 km al E;-25.68333;-54.62;Not precise;NA;Semideciduous forest;Atlantic Forest;87;No;21;1697
BFA017;BFR003;Argentina;Misiones;Iguazú;Puerto Península, 4.7 km al E;-25.70000;-54.60;Not precise;NA;Semideciduous forest;Atlantic Forest;NA;No;21.1;1697
BFA018;BFR003;Argentina;Salta;Candelaria;Potrerillos, 3.9 km al N, por ruta provincial 6;-26.05000;-65.50;Not precise;NA;Semideciduous fores;Atlantic Forest;1214;No;17.8;386
BFA019;BFR003;Argentina;Tucumán;Trancas;La Junta, 22 km al W de Choromoro;-26.38333;-65.50;Not precise;NA;Semideciduous fores;Atlantic Forest;1013;No;16.3;503
BFA020;BFR003;Argentina;Tucumán;Tafi Viejo;Río Grande, 5 km al S de El Siambón,;-26.76667;-65.47;Not precise;NA;Semideciduous fores;Atlantic Forest;NA;No;18.2;856
BFA021;BFR003;Argentina;Chaco;Veinticinco de Mayo ;Machagay, 15 km al S por ruta 16 entre Machagay y Quitilipi;-27.03333;-60.18;Not precise;NA;Seasonal floodplain forest;Atlantic Forest;160;No;21.3;1045
BFA022;BFR003;Argentina;Tucumán;Leales;Arroyo Mista;-27.21667;-65.17;Not precise;NA;Semideciduous fores;Atlantic Forest;NA;No;20.1;925
BFA023;BFR003;Argentina;Tucumán;Chicligasta;Parque Provincial El Cochuna, camping;-27.30000;-65.90;Not precise;NA;Semideciduous fores;Atlantic Forest;NA;No;17.9;596
BFA024;BFR003;Argentina;Corrientes;Saladas;Arroyo San Lorenzo y Ruta 12, aproximadamente 4 km al N de San Lorenzo al N de San Lorenzo;-28.11667;-58.77;Not precise;NA;seasonal floodplain forest;Atlantic Forest;NA;No;20.9;1101
BFA025;BFR003;Argentina;Corrientes;Santo Tomé;Estancia La Blanca, 10 km al N de Santo Tomé sobre Río Uruguay;-28.48333;-55.95;Not precise;NA;Seasonal riverine forest;Atlantic Forest;96;No;20.8;1578
BFA026;BFR004;Peru;Loreto;Maynas;1 km E of km 25.3 of Iquitos-Nauta Highway (Fundo San Martin) (District of San Juan);-3.96590;-73.40431667;Precise;Primary and secondary forest;;;NA;No;26.3;2764
BFA027;BFR004;Peru;Loreto;Maynas;13 de Febrero, Fundo Nemith, E km 33 of Iquitos-Nauta Highway (District of San Juan);-4.02540;-73.4296;Precise;Primary and secondary forest;;;NA;No;26.4;2713
BFA028;BFR004;Peru;Loreto;Maynas;App. 500 m E km 28.8 of Iquitos-Nauta Highway (District of San Juan);-3.98712;-73.41533333;Precise;Primary and secondary forest;;;NA;No;26.3;2743
BFA029;BFR004;Peru;Loreto;Maynas;Asentamiento Bambu, Pasaje Los Cedros-Bambu (District of San Juan);-3.76900;-73.28533333;Precise;Primary and secondary forest;;;NA;No;26.5;2848
BFA030;BFR004;Peru;Loreto;Maynas;Asentamiento Heroes de Cenepa, Fundo Gallo Giro (District of San Juan);-3.78740;-73.2863;Precise;Primary and secondary forest;;;NA;No;26.5;2842
BFA031;BFR004;Peru;Loreto;Maynas;"Asentamiento Pacaya Samiria ""Complejo Deportivo SUTUNAP"" (calle San Lorenzo) (District of San Juan)";-3.76240;-73.2732;Precise;Primary and secondary forest;;;NA;No;26.4;2856
BFA032;BFR004;Peru;Loreto;Maynas;Boulevar, Puerto Salaverry, Malecón Street, Tarapacá (District of Iquitos);-3.75277;-73.24411667;Precise;Primary and secondary forest;;;NA;No;26.4;2859
BFA033;BFR004;Peru;Loreto;Maynas;Comité La Coruña (Distriet of San Juan);-3.77535;-73.2984;Precise;Primary and secondary forest;;;NA;No;26.5;2849
BFA034;BFR004;Peru;Loreto;Maynas;Comunidad de Manacamiri, Nanay River, Fundo Morropon (Distriet of Punchana);-3.70828;-73.30076667;Precise;Primary and secondary forest;;;NA;No;26.4;2871
BFA035;BFR004;Peru;Loreto;Maynas;Comunidad de Manacamiri,Nanay River, Fundo Morropon (Distriet of Punchana);-3.70990;-73.30283333;Precise;Primary and secondary forest;;;NA;No;26.3;2872
BFA036;BFR004;Peru;Loreto;Maynas;Comunidad Zona Centro Ex Petroleros, km 41 of lquitos-Naula Highway, app 5 km W (District of San Juan);-4.06140;-73.4792;Precise;Primary and secondary forest;;;NA;No;26.3;2688
BFA037;BFR004;Peru;Loreto;Maynas;Estacion Experimental Agraria San Roque (District of San Juan);-3.78695;-73.29491667;Precise;Primary and secondary forest;;;NA;No;26.4;2848
BFA038;BFR004;Peru;Loreto;Maynas;Ex Petroleros, 300m W km 39.8 of Iquitos-Nauta 1 lighway (District of San Juan );-4.07900;-73.453;Precise;Primary and secondary forest;;;NA;No;26.4;2677
BFA039;BFR004;Peru;Loreto;Maynas;Iglesia Inmaculada (District of Punchana);-3.72897;-73.243;Precise;Primary and secondary forest;;;NA;No;26.4;2859
BFA040;BFR004;Peru;Loreto;Maynas;"Iquitos Oeste, CESM ""Loreto"" (District of Iquitos)";-3.74495;-73.26283333;Precise;Primary and secondary forest;;;NA;No;26.4;2855
BFA041;BFR004;Peru;Loreto;Maynas;lquitos, Edificio EsSalud (Raymoni-Napo streets) (District of Iquitos) ;-3.74903;-73.24355;Precise;Primary and secondary forest;;;NA;No;26.4;2857
BFA042;BFR004;Peru;Loreto;Maynas;km 22.7 of Iquitos-Nauta Highway (District of San Juan);-3.93952;-73.39516667;Precise;Primary and secondary forest;;;NA;No;26.3;2780
BFA043;BFR004;Peru;Loreto;Maynas;Los Delfines, km 9 of Iquitos-Nauta Highway (District of San Juan);-3.84748;-73.33973333;Precise;Primary and secondary forest;;;NA;No;26.4;2834
BFA044;BFR004;Peru;Loreto;Maynas;Mazanillo (District of Belén);-3.82808;-73.21951667;Precise;Primary and secondary forest;;;NA;No;26.5;2822
BFA045;BFR004;Peru;Loreto;Maynas;Moena Caño (District of Belén);-3.77880;-73.22491667;Precise;Primary and secondary forest;;;NA;No;26.4;2843
BFA046;BFR004;Peru;Loreto;Maynas;Moralillo, 1.5 km E 400 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan);-3.90905;-73.34306667;Precise;Primary and secondary forest;;;NA;No;26.4;2796
BFA047;BFR004;Peru;Loreto;Maynas;Moralillo, 1.5 km E 500 m S of km 15.2 of Iquitos-Nauta Highway (District of San Juan);-3.90632;-73.34361667;Precise;Primary and secondary forest;;;NA;No;26.4;2805
BFA048;BFR004;Peru;Loreto;Maynas;Moralillo, 2 km E of km 15.2 of lquitos-Nauta Highway (District of San Juan);-3.90947;-73.33796667;Precise;Primary and secondary forest;;;NA;No;26.5;2793
BFA049;BFR004;Peru;Loreto;Maynas;Ninarumi, 7.4 km W of km 6 of Iquitos-Nauta Highway (District of San Juan);-3.84172;-73.38078333;Precise;Primary and secondary forest;;;NA;No;26.4;2829
BFA050;BFR004;Peru;Loreto;Maynas;Ninarumi, 7.4 km W, I km SE of km 6 of Iquitos-Nauta Highway (District of San Juan) ;-3.84983;-73.37393333;Precise;Primary and secondary forest;;;NA;No;26.4;2832
BFA051;BFR004;Peru;Loreto;Maynas;Padrecocha (town) (District of Punchana);-3.69658;-73.28311667;Precise;Primary and secondary forest;;;NA;No;26.4;2864
BFA052;BFR004;Peru;Loreto;Maynas;Paujil, W km 37.45 of Iquitos-Nauta Highway (District of San Juan);-4.05878;-73.44225;Precise;Primary and secondary forest;;;NA;No;26.4;2690
BFA053;BFR004;Peru;Loreto;Maynas;Peña Negra, 200 m E of km 10.7 of Iquitos-Nauta Highway (District of San Juan);-3.86615;-73.33295;Precise;Primary and secondary forest;;;NA;No;26.4;2824
BFA054;BFR004;Peru;Loreto;Maynas;Peña Negra, 600 m W of km 10 of Iquitos-Nauta Highway (District of San Juan);-3.85537;-73.34515;Precise;Primary and secondary forest;;;NA;No;26.4;2836
BFA055;BFR004;Peru;Loreto;Maynas;Peña Negra, 800 m E of km 11 of Iquitos-Nauta Highway (District of San Juan);-3.87327;-73.33555;Precise;Primary and secondary forest;;;NA;No;26.4;2824
BFA056;BFR004;Peru;Loreto;Maynas;Recreo, Begonias street (District of San Juan);-3.78082;-73.289;Precise;Primary and secondary forest;;;NA;No;26.5;2848
BFA057;BFR004;Peru;Loreto;Maynas;Road to El Paujil, 1.8 km W of km 35 of Iquitos-Nauta Highway (District of San Juan);-4.02028;-73.44645;Precise;Primary and secondary forest;;;NA;No;26.3;2721
BFA058;BFR004;Peru;Loreto;Maynas;San Lucas, W km 43 of Iquitos-Nauta Highway (District of San Juan);-4.10412;-73.46318333;Precise;Primary and secondary forest;;;NA;No;26.4;2660
BFA059;BFR004;Peru;Loreto;Maynas;Santo Tomás, 6 km W of km I of Iquitos-Nauta Highway (District of San Juan);-3.80968;-73.33813333;Precise;Primary and secondary forest;;;NA;No;26.4;2844
BFA060;BFR004;Peru;Loreto;Maynas;Varillal, 2 km W of km 13.6 of lquitos-Nauta Highway (District of San Juan);-3.88003;-73.36685;Precise;Primary and secondary forest;;;NA;No;26.4;2817
BFA061;BFR004;Peru;Loreto;Maynas;Varillal, 400 m W 200 m N of km 14 of Iquitos-Nauta Highway (District of San Juan);-3.88248;-73.3548;Precise;Primary and secondary forest;;;NA;No;26.4;2822
BFA062;BFR004;Peru;Loreto;Maynas;Villa del Ejército (between 28 de Julio-Freyre Ave. and Piura Street) (District of Punchana) ;-3.72763;-73.24346667;Precise;Primary and secondary forest;;;NA;No;26.4;2859
BFA063;BFR004;Peru;Loreto;Maynas;Villa Victoria, INDECO (109 Pihuicho Street) (District of San Juan) ;-3.09823;-73.27741667;Precise;Primary and secondary forest;;;NA;No;26.2;2988
BFA064;BFR004;Peru;Loreto;Maynas;Zungarococha, 5.2 km W of km 6 of lquitos-Nauta Highway (District of San Juan);-3.83457;-73.36828333;Precise;Primary and secondary forest;;;NA;No;26.5;2830
BFA065;BFR004;Peru;Loreto;Maynas;Zungarococha, 5.4 km W of km 6 of lquitos-Nauta Highway (District of San Juan) ;-3.83042;-73.37146667;Precise;Primary and secondary forest;;;NA;No;26.5;2836
BFA066;BFR004;Peru;Loreto;Maynas;Zungarococha, 6 5 km W of km 6 of Iquitos-Nauta Highway (District of San Juan) ;-3.83398;-73.37725;Precise;Primary and secondary forest;;;NA;No;26.5;2830
BFA067;BFR004;Peru;Loreto;Ibera;Tapiche River (District of Tapiche);-5.66667;-74.15;Precise;Primary and secondary forest;;;NA;No;27;2258
BFA068;BFR005;Argentina;Misiones ;Candelaria;Camping Japonés, Arroyo Yabebiry, Loreto ;-27.28333;-55.5;Not precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;21.1;1712
BFA069;BFR005;Argentina;Misiones;Candelaria;Candelaria;-27.46667;-55.75;Not precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;21;1700
BFA070;BFR005;Argentina;Misiones;Candelaria;Candelaria, Balneario Arroyo Garupá ;-27.48333;-55.73333333;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;21.1;1703
BFA071;BFR005;Argentina;Misiones;Concepción;Estancia Prates, Barra Concepción ;-28.08333;-55.53333333;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;20.9;1712
BFA072;BFR005;Argentina;Misiones;San Ignacio;Osununú ;-27.26667;-55.56666667;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;21.1;1727
BFA073;BFR005;Argentina;Misiones;Candelaria;Parque Provincial Cañadón de Profundidad ;-27.55000;-55.7;Not precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;20.9;1703
BFA074;BFR005;Argentina;Misiones;Apóstoles;Parque Provincial de la Sierra “Ingeniero Agrónomo Martínez-Crovetto”, Municipio de San José, 210 m ;-27.73333;-55.55;not precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;20.7;1722
BFA075;BFR005;Argentina;Misiones;San Ignacio;Parque Provincial Teyú Cuaré ;-27.28333;-55.58333333;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;21.2;1722
BFA076;BFR005;Argentina;Misiones;Capital;Reserva Ecológica Tupá Puojhá (Fachinal) ;-27.61667;-55.71666667;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;20.8;1704
BFA077;BFR005;Argentina;Misiones;Concepción de la Sierra;Ruinas Santa María ;-27.88333;-55.33333333;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Semideciduous forest;Atlantic Forest;NA;No;20.7;1748
BFA078;BFR005;Argentina;Corrientes;General San Martín;Yapeyú ;-29.46667;-56.81666667;Precise;riparian forests, hygrophilous forests, mogotes, savannahs and lagoons;Seasonal riverine forest;Atlantic Forest;NA;No;20.2;1329
BFA079;BFR006;Brazil;Minas Gerais;Belo Horizonte;the Reserve “Parque Estadual do Rio Doce” located at 210 km from Belo Horizonte;-19.64167;-42.63333333;Precise;Atlantic rainforest;Rainforest;Atlantic forest;NA;yes;23.3;1164
BFA080;BFR007;Brazil;Paraíba;Santa Teresinha;Tamanduá Farm;-7.00389;-37.34388889;Precise;deciduos vegetation;Rainforest;Atlantic forest;270;yes;25.2;761
BFA081;BFR008;Brazil;Bahia;Bahia;Catinga dry forest;-14.07249;-42.35739;Not precise;hyperxerophilous  and hypoxerophytic vegetation and humid forest enclaves;Deciduous forest;Caatinga;700-1100;No;21.5;828
